transaction_id,settlement_id,match_status,anomaly_type,rule_applied,amount_delta,delay_days,confidence_level,explanation,transaction_timestamp,payment_method_x,amount_x,settlement_timestamp,settled_amount_x,transaction_ref_x,settled_amount_y,transaction_ref_y,payment_method_y,amount_y
TXN-fee4f73b-f209-4049-bf66-26fd9969afda,SET-7f02c67b-90b1-4e46-b629-9497ee90570c,MATCHED,RECONCILED,EXACT_MATCH,0.0,0.0,HIGH,Fully reconciled via EXACT_MATCH.,2026-04-08 20:32:40+00:00,UPI,41.78,2026-04-08 00:00:00+00:00,41.78,TXN-fee4f73b-f209-4049-bf66-26fd9969afda,41.78,TXN-fee4f73b-f209-4049-bf66-26fd9969afda,UPI,41.78
TXN-7914be80-6a57-4a89-bbfa-d37ea77cddf0,SET-5d983c32-e75c-4e04-8c73-573c64e008a1,MATCHED,RECONCILED,EXACT_MATCH,0.0,0.0,HIGH,Fully reconciled via EXACT_MATCH.,2026-04-08 21:49:14+00:00,UPI,247.2,2026-04-08 00:00:00+00:00,247.2,TXN-7914be80-6a57-4a89-bbfa-d37ea77cddf0,247.2,TXN-7914be80-6a57-4a89-bbfa-d37ea77cddf0,UPI,247.2
TXN-02aa08ab-a245-48f6-9f58-51ccabfbaee9,SET-791423b3-2fff-46b2-9cc7-aa841ea23cd9,MATCHED,RECONCILED,EXACT_MATCH,0.0,0.0,HIGH,Fully reconciled via EXACT_MATCH.,2026-04-08 20:41:56+00:00,wallet,462.49,2026-04-08 00:00:00+00:00,462.49,TXN-02aa08ab-a245-48f6-9f58-51ccabfbaee9,462.49,TXN-02aa08ab-a245-48f6-9f58-51ccabfbaee9,wallet,462.49
TXN-b2f58590-4e1c-416c-8161-72e645d1b43a,SET-b5bd5f46-7991-4572-805c-6fc926f5e38a,MATCHED,RECONCILED,EXACT_MATCH,0.0,1.0,HIGH,Fully reconciled via EXACT_MATCH.,2026-04-07 01:20:10+00:00,UPI,254.46,2026-04-08 00:00:00+00:00,254.46,TXN-b2f58590-4e1c-416c-8161-72e645d1b43a,254.46,TXN-b2f58590-4e1c-416c-8161-72e645d1b43a,UPI,254.46
TXN-dc0e6ce3-bb9a-4c37-a922-c317e8fdd79f,SET-de7d3503-b88d-4a33-8632-6d0113c8d57f,DUPLICATE,DUPLICATE_SETTLEMENT,EXACT_MATCH,0.0,1.0,HIGH,Settlement replayed: SET-de7d3503-b88d-4a33-8632-6d0113c8d57f matches TXN-dc0e6ce3-bb9a-4c37-a922-c317e8fdd79f with amount . Original settlement exists.,2026-04-07 20:41:22+00:00,UPI,404.26,2026-04-08 00:00:00+00:00,404.26,TXN-dc0e6ce3-bb9a-4c37-a922-c317e8fdd79f,404.26,TXN-dc0e6ce3-bb9a-4c37-a922-c317e8fdd79f,UPI,404.26
TXN-dc0e6ce3-bb9a-4c37-a922-c317e8fdd79f,SET-7e4268d6-62e5-4b7f-9c15-e931f985218d,DUPLICATE,DUPLICATE_SETTLEMENT,EXACT_MATCH,0.0,1.0,HIGH,Settlement replayed: SET-7e4268d6-62e5-4b7f-9c15-e931f985218d matches TXN-dc0e6ce3-bb9a-4c37-a922-c317e8fdd79f with amount . Original settlement exists.,2026-04-07 20:41:22+00:00,UPI,404.26,2026-04-08 01:00:00+00:00,404.26,TXN-dc0e6ce3-bb9a-4c37-a922-c317e8fdd79f,404.26,TXN-dc0e6ce3-bb9a-4c37-a922-c317e8fdd79f,UPI,404.26
TXN-9c3c75da-0fd6-4932-8b11-14881f59b0a5,SET-e1f32e8e-c54a-4994-900e-a01bada95062,MATCHED,RECONCILED,EXACT_MATCH,0.0,1.0,HIGH,Fully reconciled via EXACT_MATCH.,2026-04-08 19:33:25+00:00,UPI,342.92,2026-04-09 00:00:00+00:00,342.92,TXN-9c3c75da-0fd6-4932-8b11-14881f59b0a5,342.92,TXN-9c3c75da-0fd6-4932-8b11-14881f59b0a5,UPI,342.92
TXN-ade77149-3fed-4abf-80cb-9a14567f67af,SET-c2681174-208e-4945-a708-8b313e5b858b,MATCHED,RECONCILED,EXACT_MATCH,0.0,1.0,HIGH,Fully reconciled via EXACT_MATCH.,2026-04-08 20:00:55+00:00,UPI,90.67,2026-04-09 00:00:00+00:00,90.67,TXN-ade77149-3fed-4abf-80cb-9a14567f67af,90.67,TXN-ade77149-3fed-4abf-80cb-9a14567f67af,UPI,90.67
TXN-c649784b-faf3-4a06-8d44-c31fd8c73772,SET-0b1d0948-486f-4e42-b59f-e2cb25ac628c,MATCHED,RECONCILED,EXACT_MATCH,0.0,1.0,HIGH,Fully reconciled via EXACT_MATCH.,2026-04-08 18:32:10+00:00,credit_card,15.85,2026-04-09 00:00:00+00:00,15.85,TXN-c649784b-faf3-4a06-8d44-c31fd8c73772,15.85,TXN-c649784b-faf3-4a06-8d44-c31fd8c73772,credit_card,15.85
TXN-f1572faf-5e29-482d-9aa4-0d34ca3e742a,SET-f9c6fc59-4328-4d2a-a1c4-98ec328ba668,MATCHED,RECONCILED,EXACT_MATCH,0.0,1.0,HIGH,Fully reconciled via EXACT_MATCH.,2026-04-08 18:58:08+00:00,UPI,160.28,2026-04-09 00:00:00+00:00,160.28,TXN-f1572faf-5e29-482d-9aa4-0d34ca3e742a,160.28,TXN-f1572faf-5e29-482d-9aa4-0d34ca3e742a,UPI,160.28
TXN-a9cff681-6f8c-4213-bd77-b8c673a79bc0,SET-b2c5e7bb-8c76-4202-b0ac-3f6201bb44bb,MATCHED,RECONCILED,EXACT_MATCH,0.0,1.0,HIGH,Fully reconciled via EXACT_MATCH.,2026-04-08 10:04:04+00:00,wallet,5.56,2026-04-09 00:00:00+00:00,5.56,TXN-a9cff681-6f8c-4213-bd77-b8c673a79bc0,5.56,TXN-a9cff681-6f8c-4213-bd77-b8c673a79bc0,wallet,5.56
TXN-4397dcd4-4b2f-4df5-b059-e2ee8eada543,SET-4217f6d8-f59f-426f-b8d4-822f24c06e56,MATCHED,RECONCILED,EXACT_MATCH,0.0,2.0,HIGH,Fully reconciled via EXACT_MATCH.,2026-04-07 18:33:39+00:00,credit_card,103.86,2026-04-09 00:00:00+00:00,103.86,TXN-4397dcd4-4b2f-4df5-b059-e2ee8eada543,103.86,TXN-4397dcd4-4b2f-4df5-b059-e2ee8eada543,credit_card,103.86
TXN-3489198a-8bc0-4fd3-976a-584e0e72b083,SET-1247f9e4-41bd-4719-ae08-1ab01f7f3651,MATCHED,RECONCILED,EXACT_MATCH,0.0,1.0,HIGH,Fully reconciled via EXACT_MATCH.,2026-04-08 19:26:45+00:00,UPI,155.29,2026-04-09 00:00:00+00:00,155.29,TXN-3489198a-8bc0-4fd3-976a-584e0e72b083,155.29,TXN-3489198a-8bc0-4fd3-976a-584e0e72b083,UPI,155.29
TXN-3ee0d641-cff4-468f-a08a-a93b62663c1b,SET-a74a10cc-c0d8-42b4-b14e-d34dd6834238,MATCHED,RECONCILED,EXACT_MATCH,0.0,0.0,HIGH,Fully reconciled via EXACT_MATCH.,2026-04-09 09:50:11+00:00,UPI,84.65,2026-04-09 00:00:00+00:00,84.65,TXN-3ee0d641-cff4-468f-a08a-a93b62663c1b,84.65,TXN-3ee0d641-cff4-468f-a08a-a93b62663c1b,UPI,84.65
TXN-999ae77d-d3c5-4b34-a343-0914589110b9,SET-d117a808-cd61-47d8-86b5-3579a50084f0,MATCHED,RECONCILED,EXACT_MATCH,0.0,0.0,HIGH,Fully reconciled via EXACT_MATCH.,2026-04-09 22:15:29+00:00,wallet,104.94,2026-04-09 00:00:00+00:00,104.94,TXN-999ae77d-d3c5-4b34-a343-0914589110b9,104.94,TXN-999ae77d-d3c5-4b34-a343-0914589110b9,wallet,104.94
TXN-c103fb7e-f22c-4637-a5b3-96deb3ec776b,SET-f1d140bd-b145-4136-9580-77ee20853e70,MATCHED,RECONCILED,EXACT_MATCH,0.0,0.0,HIGH,Fully reconciled via EXACT_MATCH.,2026-04-09 20:45:25+00:00,UPI,778.3,2026-04-09 00:00:00+00:00,778.3,TXN-c103fb7e-f22c-4637-a5b3-96deb3ec776b,778.3,TXN-c103fb7e-f22c-4637-a5b3-96deb3ec776b,UPI,778.3
TXN-f2ce4a34-e049-42d7-9bd5-89976d10ece7,SET-30a3d6ed-3f61-4f5c-89c3-02742f76e781,MATCHED,RECONCILED,EXACT_MATCH,0.0,0.0,HIGH,Fully reconciled via EXACT_MATCH.,2026-04-09 19:58:19+00:00,UPI,53.91,2026-04-09 00:00:00+00:00,53.91,TXN-f2ce4a34-e049-42d7-9bd5-89976d10ece7,53.91,TXN-f2ce4a34-e049-42d7-9bd5-89976d10ece7,UPI,53.91
TXN-5f047a52-b655-47c4-bafe-7e974f3ebfdb,SET-b74aff77-f2b5-451d-a62c-426bf25a8575,MATCHED,RECONCILED,EXACT_MATCH,0.0,0.0,HIGH,Fully reconciled via EXACT_MATCH.,2026-04-09 11:50:28+00:00,wallet,134.81,2026-04-09 00:00:00+00:00,134.81,TXN-5f047a52-b655-47c4-bafe-7e974f3ebfdb,134.81,TXN-5f047a52-b655-47c4-bafe-7e974f3ebfdb,wallet,134.81
TXN-e5a19d0b-f02f-45dc-9fe2-35066f81cf36,SET-23959dc5-b17a-4ffa-9dd5-b87398156292,MATCHED,RECONCILED,EXACT_MATCH,0.0,0.0,HIGH,Fully reconciled via EXACT_MATCH.,2026-04-09 13:19:03+00:00,wallet,666.12,2026-04-09 00:00:00+00:00,666.12,TXN-e5a19d0b-f02f-45dc-9fe2-35066f81cf36,666.12,TXN-e5a19d0b-f02f-45dc-9fe2-35066f81cf36,wallet,666.12
TXN-fd54b216-bc9b-4869-a341-76d1bbe94f80,SET-ff4d48bd-ec9b-4707-9e70-350dad1346ce,MATCHED,RECONCILED,EXACT_MATCH,0.0,0.0,HIGH,Fully reconciled via EXACT_MATCH.,2026-04-09 14:01:57+00:00,wallet,69.91,2026-04-09 00:00:00+00:00,69.91,TXN-fd54b216-bc9b-4869-a341-76d1bbe94f80,69.91,TXN-fd54b216-bc9b-4869-a341-76d1bbe94f80,wallet,69.91
TXN-120ce596-2413-4e18-a6ce-2b20c11453aa,SET-a03d91fd-eddc-4dc7-a07d-e9b9ef9292d6,MATCHED,RECONCILED,EXACT_MATCH,0.0,0.0,HIGH,Fully reconciled via EXACT_MATCH.,2026-04-09 19:35:11+00:00,UPI,120.3,2026-04-09 00:00:00+00:00,120.3,TXN-120ce596-2413-4e18-a6ce-2b20c11453aa,120.3,TXN-120ce596-2413-4e18-a6ce-2b20c11453aa,UPI,120.3
TXN-1e22d870-b578-46e7-850d-340958843d59,SET-0a82a1e0-dfc1-4500-9142-38730da04192,MATCHED,RECONCILED,EXACT_MATCH,0.0,1.0,HIGH,Fully reconciled via EXACT_MATCH.,2026-04-08 23:29:28+00:00,UPI,82.7,2026-04-09 00:00:00+00:00,82.7,TXN-1e22d870-b578-46e7-850d-340958843d59,82.7,TXN-1e22d870-b578-46e7-850d-340958843d59,UPI,82.7
TXN-7511b889-645f-4e98-ad87-24018cd829d3,SET-46eeb057-6378-4c95-9659-0b98c766e658,DUPLICATE,DUPLICATE_SETTLEMENT,EXACT_MATCH,0.0,2.0,HIGH,Settlement replayed: SET-46eeb057-6378-4c95-9659-0b98c766e658 matches TXN-7511b889-645f-4e98-ad87-24018cd829d3 with amount . Original settlement exists.,2026-04-08 18:04:02+00:00,net_banking,499.19,2026-04-10 00:00:00+00:00,499.19,TXN-7511b889-645f-4e98-ad87-24018cd829d3,499.19,TXN-7511b889-645f-4e98-ad87-24018cd829d3,net_banking,499.19
TXN-9a31b76e-fda4-48a6-830a-b4fb20eee7a0,SET-86a49f6d-b443-49a0-bfb6-9bcb0300e812,DUPLICATE,DUPLICATE_SETTLEMENT,EXACT_MATCH,0.0,1.0,HIGH,Settlement replayed: SET-86a49f6d-b443-49a0-bfb6-9bcb0300e812 matches TXN-9a31b76e-fda4-48a6-830a-b4fb20eee7a0 with amount . Original settlement exists.,2026-04-09 13:33:04+00:00,UPI,588.55,2026-04-10 00:00:00+00:00,588.55,TXN-9a31b76e-fda4-48a6-830a-b4fb20eee7a0,588.55,TXN-9a31b76e-fda4-48a6-830a-b4fb20eee7a0,UPI,588.55
TXN-935c641b-f7ba-4a45-9070-303c4ff5eed2,SET-76da1417-c572-4713-a072-9fdd23d54b34,MATCHED,RECONCILED,EXACT_MATCH,0.0,2.0,HIGH,Fully reconciled via EXACT_MATCH.,2026-04-08 18:06:15+00:00,net_banking,267.82,2026-04-10 00:00:00+00:00,267.82,TXN-935c641b-f7ba-4a45-9070-303c4ff5eed2,267.82,TXN-935c641b-f7ba-4a45-9070-303c4ff5eed2,net_banking,267.82
TXN-f7a1cf23-1f43-4df4-b8d9-a4b31ff92010,SET-80f8742a-b752-4ed3-a4d7-eff8bc62bd3f,MATCHED,RECONCILED,EXACT_MATCH,0.0,1.0,HIGH,Fully reconciled via EXACT_MATCH.,2026-04-09 10:01:36+00:00,credit_card,60.05,2026-04-10 00:00:00+00:00,60.05,TXN-f7a1cf23-1f43-4df4-b8d9-a4b31ff92010,60.05,TXN-f7a1cf23-1f43-4df4-b8d9-a4b31ff92010,credit_card,60.05
TXN-8eee64d3-210d-473d-9083-2b84e2b578ac,SET-8574e7ec-451a-4c9c-b1ab-5c3751d99a1a,MATCHED,RECONCILED,EXACT_MATCH,0.0,2.0,HIGH,Fully reconciled via EXACT_MATCH.,2026-04-08 19:11:09+00:00,credit_card,93.42,2026-04-10 00:00:00+00:00,93.42,TXN-8eee64d3-210d-473d-9083-2b84e2b578ac,93.42,TXN-8eee64d3-210d-473d-9083-2b84e2b578ac,credit_card,93.42
TXN-729f06c0-fee2-4a2d-8379-5f9f0fb4d568,SET-db892bec-7aae-47bf-9281-f79ea45dfaba,MATCHED,RECONCILED,EXACT_MATCH,0.0,2.0,HIGH,Fully reconciled via EXACT_MATCH.,2026-04-08 19:10:24+00:00,credit_card,122.27,2026-04-10 00:00:00+00:00,122.27,TXN-729f06c0-fee2-4a2d-8379-5f9f0fb4d568,122.27,TXN-729f06c0-fee2-4a2d-8379-5f9f0fb4d568,credit_card,122.27
TXN-33185868-baf1-43d1-8a03-8c729cefc0df,SET-01cc369c-54f9-4283-9976-75a2bc07dcde,MATCHED,RECONCILED,EXACT_MATCH,0.0,1.0,HIGH,Fully reconciled via EXACT_MATCH.,2026-04-09 04:09:21+00:00,UPI,39.05,2026-04-10 00:00:00+00:00,39.05,TXN-33185868-baf1-43d1-8a03-8c729cefc0df,39.05,TXN-33185868-baf1-43d1-8a03-8c729cefc0df,UPI,39.05
TXN-341367ba-6e61-4b38-be1b-a988ec1ee16b,SET-91a517a7-ed76-47e1-8aed-d95cd4a221dc,DUPLICATE,DUPLICATE_SETTLEMENT,EXACT_MATCH,0.0,1.0,HIGH,Settlement replayed: SET-91a517a7-ed76-47e1-8aed-d95cd4a221dc matches TXN-341367ba-6e61-4b38-be1b-a988ec1ee16b with amount . Original settlement exists.,2026-04-09 00:27:41+00:00,UPI,367.05,2026-04-10 00:00:00+00:00,367.05,TXN-341367ba-6e61-4b38-be1b-a988ec1ee16b,367.05,TXN-341367ba-6e61-4b38-be1b-a988ec1ee16b,UPI,367.05
TXN-5515ae99-ba26-4797-a657-65a221c72690,SET-d05e5dba-3035-45ac-bb54-15254c41d297,MATCHED,RECONCILED,EXACT_MATCH,0.0,1.0,HIGH,Fully reconciled via EXACT_MATCH.,2026-04-09 14:44:52+00:00,UPI,188.35,2026-04-10 00:00:00+00:00,188.35,TXN-5515ae99-ba26-4797-a657-65a221c72690,188.35,TXN-5515ae99-ba26-4797-a657-65a221c72690,UPI,188.35
TXN-e9035084-3816-48ae-8c0b-40e18cdeacdc,SET-93cc1c4a-4cb5-40f6-9adc-87bd6621d512,MATCHED,RECONCILED,EXACT_MATCH,0.0,1.0,HIGH,Fully reconciled via EXACT_MATCH.,2026-04-09 09:12:50+00:00,UPI,33.59,2026-04-10 00:00:00+00:00,33.59,TXN-e9035084-3816-48ae-8c0b-40e18cdeacdc,33.59,TXN-e9035084-3816-48ae-8c0b-40e18cdeacdc,UPI,33.59
TXN-ab98662d-38da-4123-b197-44d7c6cd040d,SET-58190260-d5a5-4b0f-9026-5248404f2f3f,MATCHED,RECONCILED,EXACT_MATCH,0.0,2.0,HIGH,Fully reconciled via EXACT_MATCH.,2026-04-08 17:33:38+00:00,net_banking,1034.93,2026-04-10 00:00:00+00:00,1034.93,TXN-ab98662d-38da-4123-b197-44d7c6cd040d,1034.93,TXN-ab98662d-38da-4123-b197-44d7c6cd040d,net_banking,1034.93
TXN-e6b57765-a804-4e58-8435-07a3fba0110a,SET-5fd5e89e-b447-4b7a-99ef-ada39e494de5,MATCHED,RECONCILED,EXACT_MATCH,0.0,3.0,HIGH,Fully reconciled via EXACT_MATCH.,2026-04-07 18:24:03+00:00,net_banking,75.91,2026-04-10 00:00:00+00:00,75.91,TXN-e6b57765-a804-4e58-8435-07a3fba0110a,75.91,TXN-e6b57765-a804-4e58-8435-07a3fba0110a,net_banking,75.91
TXN-b4a64752-4bd9-4212-9d6c-bf7df43cc7b5,SET-34b564d4-b4e4-4437-91b3-f637113b21f2,MATCHED,RECONCILED,EXACT_MATCH,0.0,1.0,HIGH,Fully reconciled via EXACT_MATCH.,2026-04-09 16:53:11+00:00,credit_card,13.79,2026-04-10 00:00:00+00:00,13.79,TXN-b4a64752-4bd9-4212-9d6c-bf7df43cc7b5,13.79,TXN-b4a64752-4bd9-4212-9d6c-bf7df43cc7b5,credit_card,13.79
TXN-f8c7a6f5-1c23-44b6-9a8c-7d16b8971533,SET-f232ea00-80ea-4f9a-9ee2-57e34e270c17,MATCHED,RECONCILED,EXACT_MATCH,0.0,0.0,HIGH,Fully reconciled via EXACT_MATCH.,2026-04-10 20:43:48+00:00,wallet,100.54,2026-04-10 00:00:00+00:00,100.54,TXN-f8c7a6f5-1c23-44b6-9a8c-7d16b8971533,100.54,TXN-f8c7a6f5-1c23-44b6-9a8c-7d16b8971533,wallet,100.54
TXN-a77ca21b-f88f-4259-b6cd-93b7f70f3292,SET-c05dad90-f0f7-4df8-b488-ccde99f126f7,MATCHED,RECONCILED,EXACT_MATCH,0.0,0.0,HIGH,Fully reconciled via EXACT_MATCH.,2026-04-10 20:27:52+00:00,wallet,53.84,2026-04-10 00:00:00+00:00,53.84,TXN-a77ca21b-f88f-4259-b6cd-93b7f70f3292,53.84,TXN-a77ca21b-f88f-4259-b6cd-93b7f70f3292,wallet,53.84
TXN-7280bc08-e261-4caf-876e-1c5e2db17dd3,SET-83b7591a-9ce1-493d-a179-fcd1906d64bd,MATCHED,RECONCILED,EXACT_MATCH,0.0,0.0,HIGH,Fully reconciled via EXACT_MATCH.,2026-04-10 20:05:33+00:00,wallet,51.91,2026-04-10 00:00:00+00:00,51.91,TXN-7280bc08-e261-4caf-876e-1c5e2db17dd3,51.91,TXN-7280bc08-e261-4caf-876e-1c5e2db17dd3,wallet,51.91
TXN-28125bd1-1b69-4ce5-94f0-91bd7d30e09f,SET-d14c9f46-48eb-419f-a9ea-490bf3b35a35,MATCHED,RECONCILED,EXACT_MATCH,0.0,1.0,HIGH,Fully reconciled via EXACT_MATCH.,2026-04-09 20:31:49+00:00,net_banking,24.5,2026-04-10 00:00:00+00:00,24.5,TXN-28125bd1-1b69-4ce5-94f0-91bd7d30e09f,24.5,TXN-28125bd1-1b69-4ce5-94f0-91bd7d30e09f,net_banking,24.5
TXN-724fb9e2-90bb-48a3-ba40-9e4217768d3f,SET-193157eb-7260-4c1a-8370-dd564d4fa740,MATCHED,RECONCILED,EXACT_MATCH,0.0,1.0,HIGH,Fully reconciled via EXACT_MATCH.,2026-04-09 22:04:31+00:00,UPI,800.76,2026-04-10 00:00:00+00:00,800.76,TXN-724fb9e2-90bb-48a3-ba40-9e4217768d3f,800.76,TXN-724fb9e2-90bb-48a3-ba40-9e4217768d3f,UPI,800.76
TXN-0acec14b-ec22-4e51-81bc-9afdc1b144e1,SET-3770b624-5cf5-46bf-a9ed-5ab70c2d135e,MATCHED,RECONCILED,EXACT_MATCH,0.0,0.0,HIGH,Fully reconciled via EXACT_MATCH.,2026-04-10 21:59:53+00:00,UPI,303.46,2026-04-10 00:00:00+00:00,303.46,TXN-0acec14b-ec22-4e51-81bc-9afdc1b144e1,303.46,TXN-0acec14b-ec22-4e51-81bc-9afdc1b144e1,UPI,303.46
TXN-c8fbcdcb-02fe-4ff3-ae01-1e3535ba0975,SET-90d159ac-07f4-4054-af71-a89ab761044d,MATCHED,RECONCILED,EXACT_MATCH,0.0,0.0,HIGH,Fully reconciled via EXACT_MATCH.,2026-04-10 19:42:30+00:00,UPI,52.55,2026-04-10 00:00:00+00:00,52.55,TXN-c8fbcdcb-02fe-4ff3-ae01-1e3535ba0975,52.55,TXN-c8fbcdcb-02fe-4ff3-ae01-1e3535ba0975,UPI,52.55
TXN-4aea4c90-788c-4b60-b574-d10fdd5a3a75,SET-9d9f7dfb-6260-4e65-9c04-e69c0ae59dbb,MATCHED,RECONCILED,EXACT_MATCH,0.0,0.0,HIGH,Fully reconciled via EXACT_MATCH.,2026-04-10 18:24:13+00:00,wallet,150.96,2026-04-10 00:00:00+00:00,150.96,TXN-4aea4c90-788c-4b60-b574-d10fdd5a3a75,150.96,TXN-4aea4c90-788c-4b60-b574-d10fdd5a3a75,wallet,150.96
TXN-ab3b2c41-3976-4753-8393-09ef05813fde,SET-d0d6f2c3-0032-4a2a-909b-f8922ea0628d,MATCHED,RECONCILED,EXACT_MATCH,0.0,1.0,HIGH,Fully reconciled via EXACT_MATCH.,2026-04-09 18:17:28+00:00,credit_card,68.68,2026-04-10 00:00:00+00:00,68.68,TXN-ab3b2c41-3976-4753-8393-09ef05813fde,68.68,TXN-ab3b2c41-3976-4753-8393-09ef05813fde,credit_card,68.68
TXN-ed0cdbc4-b67c-45e3-94d6-8c273a7c0a5f,SET-587a6c6c-0bcd-475f-b036-5ef20aa0b65a,MATCHED,RECONCILED,EXACT_MATCH,0.0,0.0,HIGH,Fully reconciled via EXACT_MATCH.,2026-04-10 11:58:15+00:00,wallet,36.47,2026-04-10 00:00:00+00:00,36.47,TXN-ed0cdbc4-b67c-45e3-94d6-8c273a7c0a5f,36.47,TXN-ed0cdbc4-b67c-45e3-94d6-8c273a7c0a5f,wallet,36.47
TXN-0a0b686c-2990-4c09-9b62-aa9af01ccd54,SET-40c2a0dd-3f6b-489c-86dd-0fb488bb2ff4,MATCHED,RECONCILED,EXACT_MATCH,0.0,0.0,HIGH,Fully reconciled via EXACT_MATCH.,2026-04-10 19:57:41+00:00,wallet,119.26,2026-04-10 00:00:00+00:00,119.26,TXN-0a0b686c-2990-4c09-9b62-aa9af01ccd54,119.26,TXN-0a0b686c-2990-4c09-9b62-aa9af01ccd54,wallet,119.26
