transaction_id,user_id,amount,currency,payment_method,transaction_timestamp,status,merchant_ref
TXN-dc0e6ce3-bb9a-4c37-a922-c317e8fdd79f,USR-35192368-45f1-4b63-a921-78cb952fdb5d,404.26,INR,UPI,2026-04-07 20:41:22,completed,MER-QPZNRKWG
TXN-be734b1a-a69e-461d-8a5f-fb8f6c855288,USR-202393c0-d1e2-41b6-a79d-63ace652035f,19.35,INR,UPI,2026-04-07 21:37:51,completed,MER-TAQGQHRN
TXN-24802f56-5a91-474c-a4df-434aad540957,USR-01c89e7e-4819-4a15-8d1d-224d6a22cc7e,17.14,INR,UPI,2026-04-07 21:46:01,failed,MER-FIMYJGPF
TXN-60d2502b-13ba-44f5-b110-c82b92425e00,USR-ade77109-e5db-4298-a0cf-b869e6884e43,265.13,INR,credit_card,2026-04-07 21:53:05,pending,MER-EIPLMZAO
TXN-a9cff681-6f8c-4213-bd77-b8c673a79bc0,USR-88c750d0-e07d-4b51-8f12-c0c9104911a8,5.56,INR,wallet,2026-04-08 10:04:04,completed,MER-UUQSFNCM
TXN-ab98662d-38da-4123-b197-44d7c6cd040d,USR-03b4db3e-f29b-4dcd-b205-6e2f77488181,1034.93,INR,net_banking,2026-04-08 17:33:38,completed,MER-VYTTRFSR
TXN-7511b889-645f-4e98-ad87-24018cd829d3,USR-53adf037-9b2c-4d00-b7f3-2c3c591a7e9d,499.19,INR,net_banking,2026-04-08 18:04:02,completed,MER-CPHTVFZV
TXN-935c641b-f7ba-4a45-9070-303c4ff5eed2,USR-3610960c-ec09-4346-a2c6-b86d587e2840,267.82,INR,net_banking,2026-04-08 18:06:15,completed,MER-RAOVQMWN
TXN-c649784b-faf3-4a06-8d44-c31fd8c73772,USR-3a9dc04f-d55d-48a1-ac6f-9efa464783e5,15.85,INR,credit_card,2026-04-08 18:32:10,completed,MER-TKRYZTME
TXN-f1572faf-5e29-482d-9aa4-0d34ca3e742a,USR-039a8e1a-da3f-4588-9b66-54a40b6debbe,160.28,INR,UPI,2026-04-08 18:58:08,completed,MER-FPBIDLDQ
TXN-729f06c0-fee2-4a2d-8379-5f9f0fb4d568,USR-f9666fe5-15a9-4e1a-8e58-706001376283,122.27,INR,credit_card,2026-04-08 19:10:24,completed,MER-JDIBLGSR
TXN-8eee64d3-210d-473d-9083-2b84e2b578ac,USR-d6e5a573-b833-4fb1-8e58-47e8aebc0439,93.42,INR,credit_card,2026-04-08 19:11:09,completed,MER-XTKWNZCN
TXN-3489198a-8bc0-4fd3-976a-584e0e72b083,USR-8a90adf3-eed0-4b13-9945-5b54ea2d0d2f,155.29,INR,UPI,2026-04-08 19:26:45,completed,MER-FCPXKQPN
TXN-9c3c75da-0fd6-4932-8b11-14881f59b0a5,USR-29b416cb-e3f4-43cb-a8f3-95fd2e32abb7,342.92,INR,UPI,2026-04-08 19:33:25,completed,MER-HKCDABMS
TXN-ade77149-3fed-4abf-80cb-9a14567f67af,USR-cdfcd483-ed7e-489e-b804-ec231e3ab94e,90.67,INR,UPI,2026-04-08 20:00:55,completed,MER-JUFQBIFI
TXN-af92ceb8-fef8-4be0-8ab2-75ef7671bc38,USR-222385df-aa9b-4aa7-bd78-4cc5324c3aa8,51.25,INR,wallet,2026-04-08 20:16:49,completed,MER-YVQRZZUK
TXN-fee4f73b-f209-4049-bf66-26fd9969afda,USR-4f1675c7-d874-437c-8c62-870bf8d578ff,41.78,INR,UPI,2026-04-08 20:32:40,completed,MER-FORKLBWR
TXN-02aa08ab-a245-48f6-9f58-51ccabfbaee9,USR-27cb74bb-f70f-415b-a828-3284b98a3e09,462.49,INR,wallet,2026-04-08 20:41:56,completed,MER-EMPCZIFZ
TXN-86c607c9-2bf0-465b-965d-f33edc04a37d,USR-af58e854-33e2-499a-a096-00b3106e2cd6,95.71,INR,wallet,2026-04-08 21:01:47,failed,MER-YDKKXNOP
TXN-5f81fe8f-b4d7-4aae-9830-508a9ef09a2c,USR-6feaecc9-c314-4b89-906a-a9fa07b9a211,8.13,INR,credit_card,2026-04-08 21:15:15,failed,MER-FZYYJEDO
TXN-7914be80-6a57-4a89-bbfa-d37ea77cddf0,USR-15658707-a10d-4317-a188-726af203059b,247.2,INR,UPI,2026-04-08 21:49:14,completed,MER-HURISBGS
TXN-68a051de-5a7b-44b6-b461-3b3a60d5f4eb,USR-279ba401-11da-4558-ba1e-8f54d50221d0,342.26,INR,UPI,2026-04-08 22:53:37,completed,MER-MHGRAJMG
TXN-1e22d870-b578-46e7-850d-340958843d59,USR-7ebea1bd-b25f-45cb-881f-89905ce0d805,82.7,INR,UPI,2026-04-08 23:29:28,completed,MER-PXFMCLEL
TXN-341367ba-6e61-4b38-be1b-a988ec1ee16b,USR-a398d9b1-dc36-4f90-8312-668dba472810,367.05,INR,UPI,2026-04-09 00:27:41,completed,MER-ZYFLVSCA
TXN-85c26b6f-e064-4ff3-af05-627f43ced81e,USR-3c79ff17-b5a7-4b52-89a5-44d3ad6a1bea,28.27,INR,UPI,2026-04-09 01:24:22,pending,MER-MVFSXZOM
TXN-53d9c018-1477-4349-91aa-0272220eb403,USR-597dab91-1ec9-4ad0-9982-850fa1d76c80,121.37,INR,credit_card,2026-04-09 03:02:34,completed,MER-YOQXINDM
TXN-33185868-baf1-43d1-8a03-8c729cefc0df,USR-a0824d4e-11bc-4e4f-9fea-5a43cd6deb39,39.05,INR,UPI,2026-04-09 04:09:21,completed,MER-DXSEPFNM
TXN-e3f328bf-2c89-48b8-af2b-f0e020dbbda2,USR-75cbb0d4-e783-48ed-855a-15d3c1b6f074,135.62,INR,net_banking,2026-04-09 07:23:25,completed,MER-OYXQVBWY
TXN-e9035084-3816-48ae-8c0b-40e18cdeacdc,USR-bb2d11f5-e3c6-40f2-bf59-cc56bcff648d,33.59,INR,UPI,2026-04-09 09:12:50,completed,MER-LXUIFSUV
TXN-3ee0d641-cff4-468f-a08a-a93b62663c1b,USR-78f86934-0799-4715-9049-bcc05843f899,84.65,INR,UPI,2026-04-09 09:50:11,completed,MER-VJHHQEOT
TXN-f7a1cf23-1f43-4df4-b8d9-a4b31ff92010,USR-612572c1-3dc8-4a0f-bba7-a5ec6a195fee,60.05,INR,credit_card,2026-04-09 10:01:36,completed,MER-BRJQIKLQ
TXN-5f047a52-b655-47c4-bafe-7e974f3ebfdb,USR-bbbae1b9-90cf-4586-b339-fd4372b81fec,134.81,INR,wallet,2026-04-09 11:50:28,completed,MER-HGCDCPHI
TXN-e5a19d0b-f02f-45dc-9fe2-35066f81cf36,USR-3094c738-061f-4b03-82c5-51bf10e1b0b2,666.12,INR,wallet,2026-04-09 13:19:03,completed,MER-RUYYHYQI
TXN-9a31b76e-fda4-48a6-830a-b4fb20eee7a0,USR-843f94cd-d83c-479c-9a8f-2015aad5acd8,588.55,INR,UPI,2026-04-09 13:33:04,completed,MER-SBUQGEVK
TXN-fd54b216-bc9b-4869-a341-76d1bbe94f80,USR-4f8fd371-5bd1-47be-8041-c76f51335ddf,69.91,INR,wallet,2026-04-09 14:01:57,completed,MER-KYOAZFJE
TXN-4a3963f7-8d6d-4607-860f-197943f5e465,USR-cb7cd932-995b-4c4b-bb43-1aeeda2af735,225.92,INR,credit_card,2026-04-09 14:44:51,completed,MER-DPXSNBQV
TXN-5515ae99-ba26-4797-a657-65a221c72690,USR-20fbd32c-93c6-411b-a3d7-98cd00707bcf,188.35,INR,UPI,2026-04-09 14:44:52,completed,MER-XONQTFYK
TXN-b4a64752-4bd9-4212-9d6c-bf7df43cc7b5,USR-776c353e-3e6b-4120-a7c0-c6d77a14da2a,13.79,INR,credit_card,2026-04-09 16:53:11,completed,MER-UYZNPHST
TXN-06ee8e12-ca69-42f6-b9c0-ba96b1ca6a00,USR-f04490a4-6d29-4236-bf7b-578ea4e088de,111.25,INR,net_banking,2026-04-09 17:59:47,failed,MER-ZDKJMXJS
TXN-7f67c773-b7d1-4c94-b8c1-61eed9b5b161,USR-643c531b-eef6-4580-907f-6447bd24e334,272.93,INR,credit_card,2026-04-09 18:02:11,completed,MER-QYRJSVZK
TXN-c1ba45b4-e496-4e22-a3c3-350ef391a7e4,USR-4cdbbe99-64aa-4dbb-b8d2-204c87e84af6,133.43,INR,credit_card,2026-04-09 18:05:50,completed,MER-CITVZEHD
TXN-ab3b2c41-3976-4753-8393-09ef05813fde,USR-3b352db0-9385-4a39-86ba-223cca474ba4,68.68,INR,credit_card,2026-04-09 18:17:28,completed,MER-IBERDGYD
TXN-7b47d622-4864-459c-a5da-f11f290cd337,USR-6e0fe6db-a014-4fc1-b226-fea906b90cac,90.7,INR,credit_card,2026-04-09 18:52:05,failed,MER-JZTVPAOU
TXN-120ce596-2413-4e18-a6ce-2b20c11453aa,USR-23064356-6644-48d5-8b5f-03b7bccdb86e,120.3,INR,UPI,2026-04-09 19:35:11,completed,MER-JJAFYMNO
TXN-9ee2599d-fcff-429a-8e41-489393e062a0,USR-f79df6c9-fe92-4c3d-938b-03fab709c7f9,276.62,INR,credit_card,2026-04-09 19:37:11,completed,MER-NUJFTPWZ
TXN-f2ce4a34-e049-42d7-9bd5-89976d10ece7,USR-b5296eb1-4595-43fb-9cab-e9c19b29e528,53.91,INR,UPI,2026-04-09 19:58:19,completed,MER-JPHDIZDQ
TXN-28125bd1-1b69-4ce5-94f0-91bd7d30e09f,USR-e171f493-a8db-485e-8553-e7b64388e3e3,24.5,INR,net_banking,2026-04-09 20:31:49,completed,MER-PTCCHHNK
TXN-c103fb7e-f22c-4637-a5b3-96deb3ec776b,USR-7eff72db-c262-4291-90d4-b25d836b58d3,778.3,INR,UPI,2026-04-09 20:45:25,completed,MER-ZGSKDNQE
TXN-c33cd643-b1e9-4add-afc0-5428dcc6e2bd,USR-31453139-1de0-4cd0-9f6c-95dc766f7e36,118.38,INR,net_banking,2026-04-09 21:10:29,completed,MER-YOPVEVGJ
TXN-724fb9e2-90bb-48a3-ba40-9e4217768d3f,USR-1e1c4639-6b2b-448e-9f45-f925e5d7939a,800.76,INR,UPI,2026-04-09 22:04:31,completed,MER-QGPBDSHA
TXN-999ae77d-d3c5-4b34-a343-0914589110b9,USR-f0fc30d3-33bf-46bf-8713-ddbc884452e8,104.94,INR,wallet,2026-04-09 22:15:29,completed,MER-UDIHYFJS
TXN-db0d5bdf-a927-4c04-9e3a-315aad3a71e5,USR-a897f911-e293-4e30-9d21-34715f4d873c,22.87,INR,credit_card,2026-04-09 23:22:42,failed,MER-APCEXYJL
TXN-128da1d1-1c90-4a89-bf0f-0c05ad6db103,USR-984afd78-a777-4e96-b2e1-effdfb8964da,61.04,INR,UPI,2026-04-10 01:29:44,completed,MER-KOQAYCOZ
TXN-5643b37f-54cb-41fd-bc12-1136dcb0a723,USR-894adea3-5930-4cf8-a60c-167d5256ec52,84.91,INR,UPI,2026-04-10 01:48:27,completed,MER-ANTNXIWQ
TXN-d0e0b391-d61b-4b90-92fa-8ba0a52870a8,USR-803e1d3b-67fa-44c3-9ade-5ff8f4ec1d2b,513.58,INR,UPI,2026-04-10 01:53:09,failed,MER-ODVJXNME
TXN-51de7d63-b03d-44c4-bc8e-562b7143abcb,USR-7ee6a986-b39f-4e6d-bb7c-3517b2dff871,502.63,INR,UPI,2026-04-10 04:17:05,completed,MER-DSXTUFJD
TXN-30e1a36d-766d-4517-8d4a-4c50ca94ade2,USR-f73d019a-12a6-457e-9851-4c9d7b3e0e13,128.41,INR,net_banking,2026-04-10 06:26:00,completed,MER-YGCWJRNR
TXN-719a8b46-a1f2-4027-985d-4986b012702c,USR-ee76995b-a50f-4ca5-bd98-5f8c7a87209a,716.54,INR,credit_card,2026-04-10 07:58:42,completed,MER-WPUQOGXL
TXN-424732d1-2750-4e5a-b4af-b8b31243ebac,USR-68dd3288-69a5-4824-9948-391b3df13276,78.91,INR,UPI,2026-04-10 09:14:16,completed,MER-RXDYYVDQ
TXN-30ddb6b0-fc87-4710-9667-b93a51c5c0ca,USR-3fd083c3-0e9b-4415-bee7-c1a12f12ec75,28.37,INR,credit_card,2026-04-10 09:44:16,failed,MER-TSBUPDPF
TXN-407a5dba-7a7b-4fde-88cb-3c37ca7fa684,USR-ce308eef-3776-4053-8eb2-a8e841d68df7,361.05,INR,net_banking,2026-04-10 11:06:00,completed,MER-YTIDZLAP
TXN-9413f495-6fac-4848-bfbe-11252a55c85b,USR-18888eb7-07b3-4648-a760-c508efe6285b,815.9,INR,credit_card,2026-04-10 11:11:55,completed,MER-HFMIBOGK
TXN-ed0cdbc4-b67c-45e3-94d6-8c273a7c0a5f,USR-a7613077-4338-4406-8805-74cc258bcc1d,36.47,INR,wallet,2026-04-10 11:58:15,completed,MER-YQRQQXGB
TXN-bf7ad70c-6948-49de-8fb4-501b01b2113a,USR-4f714d2c-29ae-412c-9269-02d1616c21e7,114.9,INR,UPI,2026-04-10 12:35:09,completed,MER-FYJZJURH
TXN-53c342f8-237e-47a6-8ed7-a8a0cd0414bd,USR-c350a93e-a0b6-4570-bad1-4f5b9c60957a,31.38,INR,UPI,2026-04-10 13:13:29,completed,MER-ZVCBBDEU
TXN-ca139bee-f38f-4e46-a739-73e6be92ae4c,USR-d8a20763-1a2e-47c6-841b-921177290bf2,64.11,INR,UPI,2026-04-10 15:51:44,failed,MER-IOAYSXEH
TXN-ed2936fd-8a25-4f3a-9885-31e3cb0a6040,USR-9e495d02-d009-43ea-a665-b7e43ee834b2,63.27,INR,UPI,2026-04-10 18:09:42,completed,MER-ACRNWXKK
TXN-63efadd4-b24a-4e1a-b9e8-34b9d8dbf385,USR-75f2be27-b28e-4944-adaa-7ff9008830bd,112.15,INR,UPI,2026-04-10 18:15:51,completed,MER-IRNOLJTU
TXN-2af394bb-973e-48cb-b1e1-a5f26f1f8125,USR-c7236b75-a9f9-436a-a505-2cb12340b320,598.79,INR,credit_card,2026-04-10 18:18:12,completed,MER-ZRMHDFQN
TXN-4aea4c90-788c-4b60-b574-d10fdd5a3a75,USR-3a27da98-76dc-41bd-8a04-e701bf5a2628,150.96,INR,wallet,2026-04-10 18:24:13,completed,MER-CVEGPRQF
TXN-75875f9f-31f5-41a0-89ae-93082c53f86e,USR-b61dd16c-2eaf-4e92-976e-cc07bc53792e,97.44,INR,credit_card,2026-04-10 18:41:35,completed,MER-OCZUZREN
TXN-50ae2312-270f-4391-8d8d-a2734b93d011,USR-9cd03dc5-e27e-4bf7-b3cb-8c1bb6af000a,123.53,INR,UPI,2026-04-10 18:42:17,completed,MER-SDKCAEDN
TXN-b7ac88d1-04d8-4efd-b49b-67e58a7401f6,USR-ba9023f2-d404-41cc-b394-2138c4001b36,94.32,INR,wallet,2026-04-10 19:33:25,completed,MER-XJVAXYTD
TXN-c8fbcdcb-02fe-4ff3-ae01-1e3535ba0975,USR-42f42e5c-b886-4f61-8516-fb85ac800c7d,52.55,INR,UPI,2026-04-10 19:42:30,completed,MER-GVNMASJU
TXN-0a0b686c-2990-4c09-9b62-aa9af01ccd54,USR-2a898f9a-1ee9-4061-8e13-ec9edd05455a,119.26,INR,wallet,2026-04-10 19:57:41,completed,MER-JAAJHIYP
TXN-a56169ac-2116-4735-9ee5-169db7ffee45,USR-73497c47-f3fb-4d0a-826e-0e96ecca8406,93.44,INR,net_banking,2026-04-10 20:04:41,completed,MER-LCNFSUDP
TXN-7280bc08-e261-4caf-876e-1c5e2db17dd3,USR-e7ebd08f-8eb1-4fc0-b4cb-ac6660e0147d,51.91,INR,wallet,2026-04-10 20:05:33,completed,MER-AQNCDYZG
TXN-e552f03f-2f3a-4af0-b8e3-e875782a3cd7,USR-93a00667-c5fb-494c-a16b-a9cd78bbe811,73.99,INR,UPI,2026-04-10 20:14:57,failed,MER-JVOBFVHN
TXN-7d33273e-245b-42c6-84ef-f95042bf1522,USR-100eb496-5298-4041-889b-f66a97e76517,143.96,INR,UPI,2026-04-10 20:15:58,completed,MER-QIYMHRFX
TXN-c7882b42-c533-4544-b2ec-7a5fe0d7fb53,USR-3de5d79f-bcc0-4149-95a7-9a01a87e584c,258.6,INR,UPI,2026-04-10 20:21:50,completed,MER-MOKIUPKD
TXN-a77ca21b-f88f-4259-b6cd-93b7f70f3292,USR-a5a41dfe-7f23-4c4e-920f-881749416546,53.84,INR,wallet,2026-04-10 20:27:52,completed,MER-WIXIIQEJ
TXN-2d886157-a3e6-494e-b904-0786eb473291,USR-d14088ee-c7ce-40cb-95db-a74bc4e13189,88.14,INR,net_banking,2026-04-10 20:34:13,failed,MER-WVLCSEWG
TXN-f8c7a6f5-1c23-44b6-9a8c-7d16b8971533,USR-55042cf4-4e8a-4ec6-b55c-819ee65bc6bf,100.54,INR,wallet,2026-04-10 20:43:48,completed,MER-KGZILXUM
TXN-f5d2b508-17b2-4553-afb4-b009db903baa,USR-b24c8f5e-0a3e-4b0b-b8c1-3c80c4d37e2a,129.7,INR,net_banking,2026-04-10 21:25:36,completed,MER-EECSALXI
TXN-85165679-7447-49a2-9d66-149876eb091c,USR-43f83001-1e6f-4ef1-a37d-bb0738658dee,360.1,INR,UPI,2026-04-10 21:44:23,completed,MER-DIGADKDJ
TXN-0acec14b-ec22-4e51-81bc-9afdc1b144e1,USR-912a3494-4ba7-4f86-a4d4-e964016b816c,303.46,INR,UPI,2026-04-10 21:59:53,completed,MER-PXPXXYKC
TXN-b059f3d5-b8e5-4244-b2a2-efc4d31e6e85,USR-3d9cf133-1d51-45f4-b915-173883c9cca1,251.14,INR,net_banking,2026-04-10 22:08:31,completed,MER-BXZHWFGQ
TXN-1a9dcb88-4903-420f-b6ba-78d9c1fbbf5a,USR-ff084427-69be-47d8-862b-5887298a5d38,224.87,INR,net_banking,2026-04-10 22:14:27,completed,MER-KGALEZKR
TXN-fd89c4b3-add8-4f72-bc58-c646837171de,USR-419e34c1-587b-4963-a66d-194bfa4b7906,33.9,INR,UPI,2026-04-10 22:16:08,completed,MER-ZUVZGPMM
TXN-ca9ddeac-263c-49c1-844e-4a762832427c,USR-e16a49f6-e17c-4e49-a545-4330b3736839,46.23,INR,UPI,2026-04-10 22:45:29,completed,MER-EQOZXGZV
TXN-797bb553-92b1-4d83-b052-374527bc226a,USR-a32665de-f51a-4b88-a975-24396420d888,214.68,INR,net_banking,2026-04-10 23:03:44,completed,MER-PWCJCQKM
TXN-b5d321de-6104-40b0-873e-4db95823561f,USR-1f09a765-9019-492a-88bd-a177f1ad978f,233.23,INR,credit_card,2026-04-10 23:20:41,completed,MER-QVNUQHUT
TXN-664fb235-3199-422c-868e-8ed2533ec625,USR-f40104de-76ca-4ae6-917b-eaf630e2ee40,67.64,INR,UPI,2026-04-11 01:13:59,completed,MER-BMLISUGF
TXN-06cd9502-443e-46ed-ba6d-edcc34e87116,USR-2dea934f-7e31-4099-a3c8-f5662e45631b,19.44,INR,UPI,2026-04-11 05:47:54,completed,MER-BZLTMLOS
TXN-717ace39-19b3-43c8-938b-94834f8bb795,USR-ed8afb9f-fdf8-4e68-8616-70c98c0c548c,23.69,INR,credit_card,2026-04-11 07:45:49,completed,MER-CDRHWIXJ
TXN-bc0e47b4-6f2f-4239-ad7d-276def9d927a,USR-3457c6ac-d146-40fa-b3af-ac99ce658389,29.81,INR,UPI,2026-04-11 08:34:19,completed,MER-NKZGGEEJ
TXN-ee979473-a563-4d2c-a17f-226a508f2c98,USR-f2abda76-847b-4387-b343-502d93d05234,19.31,INR,wallet,2026-04-11 11:25:43,completed,MER-DCZKCFFC
TXN-d9282505-1c3e-4d6c-a98e-2be0631ced3f,USR-8ce8756b-457a-41be-8a9b-23619f0a5f5e,160.53,INR,net_banking,2026-04-11 12:08:49,completed,MER-TNVVUWNA
TXN-f48f0660-6b4f-40ff-aa8c-25e9a44c3747,USR-789394ff-df8c-4cf5-9196-bb258de652b0,49.17,INR,credit_card,2026-04-11 12:33:58,completed,MER-UUYELFSS
TXN-4f0a4aa7-17be-472b-bb5e-000da3809fe9,USR-7a76d2ef-36cb-4a08-ac40-6f054ef34799,920.28,INR,net_banking,2026-04-11 12:56:20,completed,MER-OIINJRFT
TXN-d800ebb6-89d3-4c5e-a68c-96cc229da897,USR-bd260805-548f-447f-94ad-bd442d8bc10d,10.7,INR,credit_card,2026-04-11 13:43:46,completed,MER-HKQFJFXG
TXN-cf64228b-4c97-4ab7-ac24-b3abb83fcd1c,USR-8299c224-3c3e-494d-bd4b-9757813193ac,97.83,INR,UPI,2026-04-11 16:36:18,pending,MER-UZGGUXTI
TXN-a1a5f97e-1eb9-4e8b-838e-413f3e4641d2,USR-b5167a5e-652d-41d7-af04-788764527caf,775.3,INR,wallet,2026-04-11 16:59:49,completed,MER-OYTWAAJP
TXN-aea835b4-782c-4fb0-b50a-63c445d7e9ae,USR-1a839400-3864-42fa-89d4-ee74a25303a6,131.6,INR,UPI,2026-04-11 17:31:25,completed,MER-ZRUQWTEJ
TXN-06cd9e26-ef3e-481a-8083-df0088467713,USR-23723b2f-6985-410a-bcf0-2f19cfc8b957,10.92,INR,UPI,2026-04-11 17:49:54,failed,MER-XOBUGTPV
TXN-daa01eee-581d-4e16-a88a-fcd52f0d1709,USR-1c943dde-625d-490a-92fc-99e61c3c66d7,72.57,INR,UPI,2026-04-11 18:20:54,completed,MER-FFBGVVXZ
TXN-ee1e87f9-29ba-4fd3-8d95-8b1f5511e8d3,USR-b57732e0-3712-4061-ac2a-8ec89d839faf,74.36,INR,credit_card,2026-04-11 18:45:53,completed,MER-RBMOJMQU
TXN-cf9a18e0-3476-4188-b168-0f3c7dcce5a8,USR-083ddd1f-82c1-4e58-81b8-b1334ef4abb1,224.12,INR,wallet,2026-04-11 19:17:56,completed,MER-XQPUOFMN
TXN-0286f983-8a02-4227-bc77-3bf57937498b,USR-b30acb46-8216-4aff-9b9f-08fccd112195,13.16,INR,wallet,2026-04-11 19:21:23,failed,MER-TKKPKYRI
TXN-dd2d2d8d-8ae8-48d1-95c1-2a1a6668fc43,USR-74d0adcc-cd78-400b-95d1-78b1c59e0066,81.01,INR,UPI,2026-04-11 19:35:34,completed,MER-PEOVQQER
TXN-a10eea0c-f863-49df-853e-f4e5a7f209b1,USR-2ba59512-3276-42a1-b6ee-872d838f2e77,299.86,INR,wallet,2026-04-11 19:59:13,completed,MER-LXOFDWKW
TXN-a72fbead-ec8c-43fd-92a9-13040c2292a6,USR-67983f27-01c4-4c24-8fc7-a38971e73803,140.12,INR,credit_card,2026-04-11 20:16:03,failed,MER-WDHJOKYR
TXN-aa252dca-849d-4eea-b835-6e0ac6afc00f,USR-3e95763e-52b9-4ea0-a0b1-72fb859db5e7,117.65,INR,UPI,2026-04-11 20:50:29,completed,MER-XIVFDWXS
TXN-773c8530-ff5f-4194-a639-aa401a10e85f,USR-de611913-07c1-4f70-aa55-b4ed0908cd36,339.4,INR,UPI,2026-04-11 20:53:33,completed,MER-GNZJIUZL
TXN-e7abd92d-1584-441a-9f04-e7e9ab9ea32b,USR-4d7eb3ac-9a0c-40fc-a90b-8941aa74981a,92.41,INR,wallet,2026-04-11 21:07:27,completed,MER-PHJWAMMY
TXN-73ae0ee9-f15e-48be-afa4-7c92aa797bf5,USR-515b2df0-5dc1-441e-a275-6258365d7026,56.34,INR,UPI,2026-04-11 21:15:58,completed,MER-WONQVVXS
TXN-528221bb-ed6b-4d08-a6ea-ff1990851610,USR-9af485a7-7664-4ac2-8e14-b476649806d3,100.35,INR,credit_card,2026-04-11 21:20:50,failed,MER-RCQBFMCA
TXN-3b915991-547a-4e6e-9230-57a32e65d585,USR-5665d63f-915d-4777-acbb-8711a242a141,935.63,INR,wallet,2026-04-11 21:28:50,completed,MER-ILOHRCAA
TXN-8496c448-ce8d-4be2-b44c-083a79fa3089,USR-2e7b58e7-f1f4-429a-8ea5-d1c7707ceaf0,25.98,INR,net_banking,2026-04-11 21:31:37,completed,MER-BGWOTGCK
TXN-5405c3d1-e153-4aaf-8ede-940e1bfa82e7,USR-7b17fa21-a07d-43d7-959b-b74c63447c76,143.34,INR,UPI,2026-04-11 21:39:36,completed,MER-UEBGOBLL
TXN-ce1ab9fc-ddc7-45eb-9596-0fdc0872bb1a,USR-009ecc32-a539-426d-ac56-9316669487b3,18.33,INR,credit_card,2026-04-11 21:42:08,completed,MER-BGPBLZHF
TXN-0ecf1fff-7807-4766-8cb2-1eea262ba5a9,USR-9d421401-e21c-41f3-bf4e-647847a2332d,76.91,INR,UPI,2026-04-11 21:51:15,completed,MER-XQPKDZOT
TXN-48765d53-f6e5-4867-bd66-2f75573ab1cd,USR-40c4c8fc-1f23-4754-9777-46aa112cee74,232.52,INR,UPI,2026-04-11 21:54:30,failed,MER-DOMOBHEA
TXN-0bb905d6-d62e-4e3c-abac-d2cac2dd23bb,USR-1d9e93cf-507a-473e-9283-8cfeef446435,386.46,INR,net_banking,2026-04-11 22:55:07,failed,MER-HVDPNJSA
TXN-1e372fe2-fd1c-4559-8a97-f9ed5947b789,USR-4eb9f471-7f17-49c1-ab59-716cfee433a5,167.08,INR,credit_card,2026-04-11 22:59:20,completed,MER-UUGQPODS
TXN-e156f3b4-c845-4fcb-b259-01def521649f,USR-76167bf0-2e85-4901-a5b2-0f846d2de3d2,129.76,INR,wallet,2026-04-12 04:19:11,completed,MER-BVRPOIVG
TXN-e4b96a57-209f-4575-881d-ee113b630019,USR-b7ca06ee-3203-4262-af7f-47a9183a86c6,42.79,INR,credit_card,2026-04-12 06:04:52,completed,MER-QNMMHZND
TXN-9de51524-4f00-40fa-abd6-fe87c610e292,USR-0ab06274-b143-4c15-ae60-fb1fbb672c23,1328.1,INR,credit_card,2026-04-12 06:22:42,failed,MER-HGRCWOUS
