settlement_id,transaction_ref,settled_amount,settlement_timestamp,settlement_batch_id,settlement_status,payment_method
SET-7f12665b-934e-419f-986a-cfe1d5b57beb,TXN-de900298-0c43-41e9-a9c2-63942d265e0b,9.42,2026-04-13,BATCH-e861a81d-4bfd-43d0-b4d5-398470de48d8,settled,credit_card
SET-e0d6d7e7-f4b9-42ac-b2e7-03c03ae99aac,TXN-dae512fd-c0ef-425c-8104-7c44c0ec166f,30.48,2026-04-13,BATCH-7471cd4b-802e-4ba7-bbaf-fe422b386645,settled,UPI
SET-dd634f13-4d7d-4618-91cf-42cc5e286a94,TXN-188a7c05-c2fb-4c25-b65d-9ab3fda81dbd,81.08,2026-04-13,BATCH-a2a15b5e-ee87-440c-bc16-59b1618ab7d8,settled,UPI
SET-9593393f-241c-4a68-bd4a-a313d84d7c63,TXN-49be1c71-4119-4fdd-b9f4-0f38e2c095cc,137.45,2026-04-13,BATCH-af8c21a0-9ccf-4341-b43b-8c582bdcfc53,settled,credit_card
SET-81b358a6-f98e-4509-a499-8606d4b78e08,TXN-8ac05a12-3ff6-4c2b-ac25-0771049aa9aa,167.26,2026-04-13,BATCH-1c54b041-8089-46c6-ad41-1c879feafa0c,settled,credit_card
SET-a2c5b781-a423-49fd-85f2-b0ed28476a4f,TXN-d0ed659a-0b3c-4d34-af5c-a13b79a7ce2d,31.85,2026-04-13,BATCH-288c849c-c91c-4825-bf8b-4ea0fe5255fa,settled,UPI
SET-3a27a1ee-c350-4bc7-8f69-022b48e4c476,TXN-b27447a3-9c4f-4eb4-9096-8f6e9a1a17d1,322.67,2026-04-13,BATCH-7243f096-6de7-4b7f-9d92-bc4f1b613a36,settled,credit_card
SET-a0f58b84-d9c9-45dc-874a-23feb4a984ae,TXN-d24d57bd-5224-4f3b-a501-9cf337b1a628,245.21,2026-04-13,BATCH-40a5da38-0a64-438b-9d26-b43a78b3bfd7,settled,UPI
SET-432d74ac-8579-4059-bddb-dad1597f7821,TXN-daa01eee-581d-4e16-a88a-fcd52f0d1709,72.57,2026-04-13,BATCH-0c53ba11-4a28-4043-8f27-7ca050206de6,settled,UPI
SET-51ca70e0-bfdb-4d45-b452-a905e719e5c8,TXN-415a7147-17a7-40b7-95af-273650a6b87a,77.69,2026-04-13,BATCH-3e58c925-fb55-4af5-aca8-5d220df6a96c,settled,UPI
SET-495cc4e3-2205-4f15-aac8-63be626223f6,TXN-44a5c30e-ae55-40ca-9b8c-aa8c33bd8be2,73.04,2026-04-13,BATCH-2026-04-13,settled,net_banking
SET-1fb136ce-c524-4fa4-b0ce-92b664f4308a,TXN-957a3c8a-0953-4826-928e-4954b94feb8a,297.33,2026-04-13,BATCH-617da94d-89ca-499b-9afe-e31cf1f91da0,settled,UPI
SET-fece97d8-94d3-4ce1-a8db-17443f1db36d,TXN-aea835b4-782c-4fb0-b50a-63c445d7e9ae,131.6,2026-04-13,BATCH-ca7eca27-0eee-4884-a45e-bb14f874c468,settled,UPI
SET-a2d437fd-1a8b-46e6-99a8-cbb08c577ffc,TXN-ee1e87f9-29ba-4fd3-8d95-8b1f5511e8d3,74.36,2026-04-13,BATCH-e196ca33-0d3d-486e-ae3f-2c4867ea4813,settled,credit_card
SET-68886c0c-3b24-4d6b-af3c-5be9eeb9bcd1,TXN-d800ebb6-89d3-4c5e-a68c-96cc229da897,10.7,2026-04-13,BATCH-25e30351-4158-46b7-8f43-6cb148edea7b,settled,credit_card
SET-51fda9a7-8a37-43ae-a7c0-d190b10b4401,TXN-75875f9f-31f5-41a0-89ae-93082c53f86e,97.44,2026-04-13,BATCH-1445328a-e003-42d2-adc8-b8c498a1d827,settled,credit_card
SET-d453aa93-4502-496f-904e-632d0a5bf66d,TXN-2af394bb-973e-48cb-b1e1-a5f26f1f8125,598.79,2026-04-13,BATCH-885db32d-22a6-4178-8192-e8c6d223b59e,settled,credit_card
SET-b42359a7-95db-446d-bab9-aca48ecbd11b,TXN-63efadd4-b24a-4e1a-b9e8-34b9d8dbf385,112.15,2026-04-13,BATCH-1cd49e07-02e2-4efd-ab67-b065c9f3f227,settled,UPI
SET-e93f17c3-1eaa-4892-8c30-a066d3bdc266,TXN-ed2936fd-8a25-4f3a-9885-31e3cb0a6040,63.27,2026-04-13,BATCH-bb9022fe-1735-4ac6-8469-a39597ca8d69,settled,UPI
SET-577187c6-ef2d-4fbb-ae2b-c6317ebd4b1c,TXN-a1a5f97e-1eb9-4e8b-838e-413f3e4641d2,775.3,2026-04-13,BATCH-265730be-e410-49f0-8709-e8ef4b4a6bbf,settled,wallet
SET-f1d90c87-bb1c-49bc-83d7-bd3fd0494488,TXN-bf7ad70c-6948-49de-8fb4-501b01b2113a,114.9,2026-04-13,BATCH-a4b25f9a-280b-459b-8e7e-1548aa7aa9c7,settled,UPI
SET-49605c94-0ecf-49df-906e-c88f35dc4ac9,TXN-9413f495-6fac-4848-bfbe-11252a55c85b,815.9,2026-04-13,BATCH-ac788009-e87d-4b71-aee0-5f8cdd7aeb9f,settled,credit_card
SET-253ae2dd-8c27-4f75-99cd-690b7034e5ea,TXN-424732d1-2750-4e5a-b4af-b8b31243ebac,78.91,2026-04-13,BATCH-7e47c000-158d-43d6-a696-cee08b8acbcf,settled,UPI
SET-0c592802-ec59-4f5a-8121-0d57b800ccd7,TXN-719a8b46-a1f2-4027-985d-4986b012702c,716.54,2026-04-13,BATCH-0f963d39-713e-4c85-b6b5-3c649bae32db,settled,credit_card
SET-68217370-de9d-4ce8-8ed7-b713420f8098,TXN-30e1a36d-766d-4517-8d4a-4c50ca94ade2,128.41,2026-04-13,BATCH-2026-04-13,settled,net_banking
SET-81569036-e881-4bbb-b31c-18d717ed4c3f,TXN-51de7d63-b03d-44c4-bc8e-562b7143abcb,502.63,2026-04-13,BATCH-d8d362dc-81f4-4d02-afe6-a309955ec31b,settled,UPI
SET-be92cd49-bebb-44fa-8522-73176a9d6f62,TXN-5643b37f-54cb-41fd-bc12-1136dcb0a723,84.91,2026-04-13,BATCH-b7672cc9-a084-4c01-b24e-bbad9c3261b8,settled,UPI
SET-6f56383f-e868-4ee8-ba32-78d81869e99c,TXN-128da1d1-1c90-4a89-bf0f-0c05ad6db103,61.04,2026-04-13,BATCH-b0a8ea39-d369-4755-abec-2d63c0968aa1,settled,UPI
SET-01aeade9-cd70-4efe-b08c-90c659c24ca8,TXN-e3f328bf-2c89-48b8-af2b-f0e020dbbda2,135.62,2026-04-13,BATCH-2026-04-13,settled,net_banking
SET-efa58cfc-195e-48b7-9452-4b4327ea5d2c,TXN-9ee2599d-fcff-429a-8e41-489393e062a0,276.62,2026-04-13,BATCH-d52229f0-0848-4762-8d57-ef62a93a69bc,settled,credit_card
SET-f1b5967b-e877-4afc-b948-0485dc4242d7,TXN-4a3963f7-8d6d-4607-860f-197943f5e465,225.92,2026-04-13,BATCH-e9099194-0f28-4232-8463-9effccd736cb,settled,credit_card
SET-2b051f79-ec69-418c-8372-d0339c495362,TXN-c1ba45b4-e496-4e22-a3c3-350ef391a7e4,133.43,2026-04-13,BATCH-1f6c3635-8ea8-4510-9b4d-e7f2bbb2a4a6,settled,credit_card
SET-e7a882ed-a637-4b96-b1e8-adfdc9cd7517,TXN-50ae2312-270f-4391-8d8d-a2734b93d011,123.53,2026-04-13,BATCH-5bcaa82a-dba3-4445-87d1-7e7d95b6c58e,settled,UPI
SET-a6972825-f3a7-4bec-8c8a-8975edce387c,TXN-b7ac88d1-04d8-4efd-b49b-67e58a7401f6,94.32,2026-04-13,BATCH-f1cd2872-f7bf-4fd0-837f-c4a05f27d252,settled,wallet
SET-1017f01d-ca83-4f1e-96d7-2b6f55759ea9,TXN-53c342f8-237e-47a6-8ed7-a8a0cd0414bd,31.38,2026-04-13,BATCH-586ac92f-007c-47fc-8be5-f3a326f14400,settled,UPI
SET-5551909c-6fa4-416a-8668-a0cd0ff5d42f,TXN-f48f0660-6b4f-40ff-aa8c-25e9a44c3747,49.17,2026-04-13,BATCH-62beb293-b87c-495c-8718-f554500bf123,settled,credit_card
SET-db61b5c8-64e2-42cf-a80f-984d1a87af06,TXN-b5d321de-6104-40b0-873e-4db95823561f,233.23,2026-04-13,BATCH-2625a063-7984-4716-ad2d-705c2ef70174,settled,credit_card
SET-0049c90d-d52b-462b-ae7c-d9e03a0c3b67,TXN-06cd9502-443e-46ed-ba6d-edcc34e87116,19.44,2026-04-13,BATCH-2de70c8e-bfb0-48f4-a52d-4979be8e0efb,settled,UPI
